Pipeline name,Cloned Pipeline name,Table Names,Table Type,Workspace path,Workspace cloned path,Status
Accoustic_ADB_Raw_Curated_Zone,,kcd.clx_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Clorox_Events,,
Accoustic_Brita_ADB_Raw_Curated_Zone_copy1,,kcd.brita_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Brita_Events,,
Accoustic_GLAD_ADB_Raw_Curated_Zone,,kcd.hvr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_HVR_Events,,
Accoustic_HVR_ADB_Raw_Curated_Zone,,kcd.hvr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_HVR_Events,,
Accoustic_Kingsford_ADB_Raw_Curated_Zone,,kcd.kf_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Kingsford_Events,,
Accoustic_Pinesol_ADB_Raw_Curated_Zone,,kcd.brita_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Brita_Events,,
Accoustic_PPR_ADB_Raw_Curated_Zone,,kcd.ppr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_PPR_Events,,
Master_Acoustic_Brita_Pipeline,,kcd.acoustic_run_history_details ,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
Master_Acoustic_Brita_Pipeline,,kcd.brita_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,
Master_Acoustic_Burts_Pipeline,,kcd.acoustic_run_history_details,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
Master_Acoustic_Clorox_Pipeline,,kcd.clx_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,
Master_Acoustic_Clorox_Pipeline,,kcd.acoustic_run_history_details,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
Master_Acoustic_GLAD_Pipeline,,kcd.hvr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,
Master_Acoustic_GLAD_Pipeline,,kcd.acoustic_run_history_details,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
Master_Acoustic_HVR_Pipeline,,kcd.hvr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,
Master_Acoustic_HVR_Pipeline,,kcd.acoustic_run_history_details,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
Master_Acoustic_Kingsford_Pipeline,,kcd.kf_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,
Master_Acoustic_Kingsford_Pipeline,,kcd.acoustic_run_history_details,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
Master_Acoustic_Pinesol_Pipeline,,kcd.brita_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,
Master_Acoustic_Pinesol_Pipeline,,kcd.acoustic_run_history_details, Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
Master_Acoustic_PPR_Pipeline,,kcd.ppr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,
Master_Acoustic_PPR_Pipeline,,kcd.acoustic_run_history_details,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Acoustic dataload/01_Acoustic_Data_Export,,Table Created
KCD_3PD_DATAAXLE_BRITA_LYTICS_UPLOAD_ONETIME,KCD_3PD_DATAAXLE_BRITA_LYTICS_UPLOAD_ONETIME_UC,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_BRITA_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
KCD_3PD_DATAAXLE_BURTS_BEE_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_BURTS_BEE_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
KCD_3PD_DATAAXLE_CLOROX_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
